identifier,name,size,url,collection,title,mediatype,year,description,subject,file_name,transcript,avg(confidence),min(confidence),max(confidence)
tobacco_lez99d00,tobacco_lez99d00.mp4,9951991,https://archive.org/download/tobacco_lez99d00/tobacco_lez99d00.mp4,newsandpublicaffairs,movies,GREY ADVERTISING OLD GOLD OGGS69247-60C/100'S TRAIL BIKE 60 SEC COLOR; OLD GOLD OGGS69247-60C/100'S TRAIL BIKE 60 SEC COLOR,1968,Old Gold cigarette commercial.,"tobacco, cigarette,television , advertising , male , female, filter",tobacco_lez99d00,"he's an independent guy he likes to set his own kind of style doesn't care what's in or new chooses things to suit his taste couldn't care what others do he's a No Gold filters man just with an independent,Gold filters the cigarette for independent people now in 100 size to the better 100 with flavors that never came through a filter before and with valuable gift store coupons the gift coupons she's Asian it's the flavor am after why smoke em if you can taste it he's an old Gold filters man now old Gold filters in 100 size the better 100 with gift star coupons",0.8661726700000001,0.8458153,0.88653004
tobacco_pthm0166,tobacco_pthm0166.mp4,31654397,https://archive.org/download/tobacco_pthm0166/tobacco_pthm0166.mp4,newsandpublicaffairs,movies,Anti-Smoking Commercials - GVI INDUSTRY,2002-01,"Compilation of anti-smoking commercials sponsored by California Department of Health Services, Washington State Department of Health, and the American Legacy Foundation/Truth Initiative.","cigarette, tobacco, anti-smoking advocacy, advertising, children, youth, marketing, industry response, tobacco education material, local government, local government agency",tobacco_pthm0166,"everybody picks on me nobody likes me well you can't really blame them you've killed and crippled millions of Americans they didn't have to smoke it was their choice but you knew cigarettes were addictive and you lied about it a hold that was the old me I'm into community service now have you seen my head's yeah can I ask you a question anything this is the new me are you going to keep selling cigarettes, I said are you going just thought I'd ask, I see you're back on television 100 million dollars worth what's it been maybe 30 years off TV a long time too long so how'd you pull it off, we just stay away from the c word cancer no cigarettes we don't say anything about cigarettes on the tube we talk about be we talk about cheese and we talk about community service and get that Smoky old brand name out there right bingo, what you're not going to start that again cigarettes are deadly smoking is addictive old news old news hey have you seen my new ads but the big bucks and putting out for scholarships and soup kitchens and how about those homeless shelters, look this isn't just about you do you have any idea how hard it is to run a business that year after year kills 400,000 of its best customers, I had my first cigarette when I was 13 when I found out how bad it was I tried to quit but I couldn't face a nicotine isn't Detective, how could they say that, we have to sell cigarettes to your kids need half a million new smokers a year just to stay in business so we have her ties in your school's a candy counter we lower our prices we have to it's nothing personal you understand the tobacco industry how low will they go to make a profit, like marketing toothpaste or anything laundry detergent hey we got a customer while they're young enough they're yours for life for you to that's just the way it is it's Ray right if to see you today Rick hey look at that the poster is perfect perfect placement thanks for doing that appreciate you see this is what I'm talking about it's about building a lifetime relationship branding 101 you notice how the eye line is perfect as a method to this madness, I mean come on guys do I look like a monster to you you've been spending some time with me if it's tobacco marketing you're looking to capture can Lanes your guy I think school programs are a great idea to what he's done is he's managed to change the way that tobacco companies are perceived by the public who's more Feel Good Charity commercials PR the hell out of it the beauty is for selling cigarettes without selling cigarettes and our name is on that message my grandma, smoking is macho it's sexy you know let's face it sporting that's racing yeah everything went great we got a car through next year racing events are very important they get a huge crowd of young people I know it's a lot of money Tom we're not just buying logo space a watch these sporting events on TV Tom remember how we're not supposed to advertise on TV well this car is like having a three-hour television commercial every time it race yeah the kids love race, okay I'm talking to back, how many people do you know what we're going to leave this here for you so you can see what 1200 people actually look like, I have a delivery for the marketing department we have a lie detector because I understand that your company has said that nicotine is an addictive and then you say that it is so this is happening and all the confusion okay we're leaving but your company has said that nicotine is an addictive and then you say that it is we're just trying to tell your great",0.8477427126666666,0.61302155,0.9128385
tobacco_ftx62a00,tobacco_ftx62a00.mp4,60248209,https://archive.org/download/tobacco_ftx62a00/tobacco_ftx62a00.mp4,newsandpublicaffairs,movies,PMUSA 201D: TEXT. PMUSA 202G: QUESTIONS TV: 30,2000,Philip Morris Tobacco Master Settlement Agreement Commercials.,"tobacco, cigarette,marketing, master settlement agreement, media campaign, television, tobacco industry employee, advertising restriction, children",tobacco_ftx62a00,"no matter what you think of tobacco companies the fact is at Philip Morris we're changing the way we do business we've taken down our tobacco Billboards and stop putting tobacco logos on clothing and merchandise all part of a tobacco settlement agreement that restricts the marketing of tobacco products and provides 1.5 billion dollars for youth anti-smoking ads and education things are changing and it Philip Morris we wanted you to know,have you noticed anything different lately like no more tobacco Billboards or cartoon character selling cigarettes and tobacco logos aren't put on clothing or merchandise anymore why because America's major tobacco companies signed a tobacco settlement agreement that restricts the marketing of tobacco products and provides 1.5 billion dollars to fund youth anti-smoking ads and education things are changing and at Philip Morris we wanted you to know",0.87200597,0.8311736,0.91283834
tobacco_tor91e00,tobacco_tor91e00.mp4,9308560,https://archive.org/download/tobacco_tor91e00/tobacco_tor91e00.mp4,newsandpublicaffairs,movies,TF LN NEWPORT N 67 103 60C CLR 60 SEC 5500,1966,Newport cigarette commercial.,"tobacco, cigarette,advertising , television , menthol cigarette , male, female",tobacco_tor91e00,smooth and fresh is the new 40 welcome flavor you won't date smooth never harsh never run,0.77707916,0.77707916,0.77707916
tobacco_xez99d00,tobacco_xez99d00.mp4,9340346,https://archive.org/download/tobacco_xez99d00/tobacco_xez99d00.mp4,newsandpublicaffairs,movies,'TCA VID OLD GOLD WHAT'S BEST' OGG-67-216-60 60 SEC.,1966,Old Gold and Menthol Spring 100s cigarette commercial.,"tobacco, cigarette,television , advertising , male , female , filter, menthol cigarette, marketing",tobacco_xez99d00,"you know what's best about these gifts star coupon they come on Old Gold filters but there's so many wonderful things you can get with him a whole catalog full Best Taste yet in a filter cigarette right you can get watches and sheets and toasters and basketballs and almost anything still it popular prices I think they know that beer or you can turn them in for cash or use them with trading stamps they come on Old Gold filters,they're very nice to Dear it's the best coupon that ever came in cigarette the best cigarette that ever came with a Koopa and if you like to smoke menthol cigarettes and don't want to lose getting coupons at new Menthol spring 100's same give Star coupon that comes on Old Gold you extra long length you extra full Menthol taste if you'd like to smoke menthol cigarettes but don't want to lose getting coupons you'll enjoy new Memphis spring 100 thing coupon that comes on old gold",0.832397115,0.8113248,0.85346943
tobacco_jdz99d00,tobacco_jdz99d00.mp4,9360926,https://archive.org/download/tobacco_jdz99d00/tobacco_jdz99d00.mp4,newsandpublicaffairs,movies,NEWPORT BEACHBALL N-67-79-60C COLOR,1966,Newport cigarette commercial.,"tobacco, cigarette,advertising , television , menthol cigarette , male, female",tobacco_jdz99d00,they have to do this,0.8797253,0.8797253,0.8797253
tobacco_tep23e00,tobacco_tep23e00.mp4,124918037,https://archive.org/download/tobacco_tep23e00/tobacco_tep23e00.mp4,newsandpublicaffairs,movies,TIDEWATER. VIRGINIA TV 000808. 000809 PHILIP MORRIS NEW LABEL STATIONS: WVEC-ABC WTKR-CBS WAVY-NBC,1993,Compilation of reports about Philip Morris decision to add a notice prohibiting under-age sales to cigarette packs.,"tobacco, cigarette,youth, children, youth access, advertising, marketing, regulation, smoking prevention, industry sponsored prevention program, warning label",tobacco_tep23e00,"it's time for TV 3 news,have fun good afternoon everybody I'm Ed huge I'm Jen Garner our top story a Crackdown on cigarette sales to minors on two fronts access and label warnings TV3 is Paula Miller joins us live from a retail store Paula tell us what's planned well Jane retailers like this one will be getting friendly reminders about not selling cigarettes to minors while President Clinton wants to crack down on specific places where those miners are getting their puffs, I do it because I can that's why I do anything Lydia you're 12 yes how long have you been smoking since I was 10 can't drive can't vote but they're not inhibited about inhaling it's hard to quit because all your friends are smoking, Richmond Bates Philip Morris company wants to limit minors access to cigarettes we do not want kids to smoke period so effective today Phillip Morris is slapping warning labels on cigarette packs warning underage sale prohibited we believe the notice will serve to heighten awareness of the law for both retailers and for minors they're blowing smoke say these miners one, stop you from smoking no we're getting them nope when President Clinton travels to North Carolina's tobacco country Wednesday he too is expected to unveil a campaign to curb smoking by young adults he's expected to ban cigarette vending machines from places frequent had by minors and require proof of age before buying I don't get cigarettes from vending machines where do you get them I get them doors, I don't want to like incriminate anybody because then I feel like get busted or something and they don't ask you your age now do you think you look 18 now and I can't tell you how many times today we heard Jane how easy it is for these teens to just walk into many a stores many at the beachfront they say and just ask for a pack of cigarettes and get them the warning labels will be on these Marlboro Lights within six to eight weeks Jane does that apply across the, on for Philip Morris when they plan to have labels on all their packs cheating they say once the Productions of those that are already in stock in many of their stores are depleted they probably will reach all stores throughout the US by the end of the year but definitely in our area in the next six to eight weeks all right thank you Paula Miller reporting live from Norfolk, another health hazards smoking President Clinton plan to crack down to keep cigarettes away from the underage smokers TV3 is Paula Miller is live at a Norfolk store Paula I understand that retailers are also being targeted Tom retailers and miners both now this is the efforts of a cigarette company and the president and here are some alarming statistics from the American Cancer Society everyday 3,000 young adults between the ages of 12 and 18 light up for the first time, they're rolling off the manufacturing lines in Richmond and at Philip Morris has two other us production plants cigarette packs bearing the label underage sale prohibited their part of the company's action against access campaign reminding retailers and minors that cigarette sales to those under 18 are illegal teen smokers say the message will fall on deaf ears people are getting, cigarettes anyway though just get somebody old enough to buy them for more they can go in the store if they look old enough Philip Morris's announcement comes just as President Clinton is expected to announce a ban on cigarette vending machines in places frequent head by minors and require proof of ID before purchasing cigarettes so what do you do when they ask for ID I say no and I leave but some of those same teens admit to me tonight though that they do think it will be a bit tougher, some even say they don't think retailers should be selling to those under the age of 18 because it does promote cigarette smoking this 7-Eleven has a sign right on the door it's the law we do not sell tobacco products to persons under the age of 18 look for those labels from Phyllis Morris on the sides of these packages in area stores within six to eight weeks Ed Tom all right thank you very much Paula Miller reporting live tonight from Norfolk, Philip Morris Tobacco Company unveiled new product packaging today aimed at discouraging child smokers the new warnings will say cigarettes and tobacco are not for sale to minors Philip Morris hopes to stay one step ahead of President Clinton and discouraging youngsters from smoking by reaching children not further regulating the tobacco industry I make, Virginia tobacco company today took a step it says will help keep kids away from cigarettes Philip Morris unveiled new product packaging that includes a label warning that reads cigarettes and tobacco or not for sale to minors when Philip Morris announced its action against access initiative on June 27th we did so with the firm belief that the best way to keep cigarettes away from kids is to keep kids away from cigarettes our main objective in life, launching action against access was to create a Marketplace environment where kids cannot buy cigarettes comes in the wake of threats by the president to more closely regulate the tobacco industry fire, most teenagers who smoke know it's not healthy but that doesn't seem to stop them but of course it's illegal to sell cigarettes to minors but they find a way to get them so the country's largest tobacco company says it has a new plan to keep that from happening local reporter Kathryn Barrett is just back from Richmond and Catherine Philip Morris hopes kids get the message right today the company started printing a new message on cigarette packs Philip Morris hopes it will keep kids from smoking and keep the government, it's back the latest government survey says 19% of our eighth graders smoke and the trend among all teenagers is rising when it comes to smokers rights the federal government and the tobacco industry may not agree on many things but both agree teen smoking is a problem we are totally committed to making a real difference on the issue of Youth smoking, we do not want kids to smoke period so starting now packs of Philip Morris cigarettes are coming off the assembly line stamped with a new message reminders of the law the new label says underage sale prohibited it's on the same side of the pack as the surgeon general's health warning in the same small type Philip Morris says the announcement was made the same day, all three of its us plant started making the new labels and was not time to President Clinton speech the next day Clinton is expected to announce mandatory tobacco rules for teens more than 100 medical religious and children's groups want the government to regulate nicotine as an addictive drug but the tobacco industry is fighting that it says open the door and the government will step in to regulate all smoking we feel very strongly that this whole issue of, of you smoking and minors access should not be used as a smokescreen to then deny adults their free choice to smoke the new labels are part of what Philip Morris calls its action against access Campaign which is aimed at keeping teens from getting hold of cigarettes they're phasing the labeling in you'll see it in the next six weeks or so in the store on Marlboro Light Boxes by the end of the year almost all the companies Brands Philip Morris has already stopped free cigarettes, sampling and sending cigarettes in the mail the idea is to stop the access and say please and exchange don't regulate US federal government for Mercy goes on thank you Katherine well for, the country's largest cigarette maker has a new plan to discourage teenagers who smoke, starting today Phillip Morris cigarettes are coming off the assembly line stamped with a new warning it says underage sale prohibited it's illegal to sell cigarettes to minors but that's not stopping kids from smoking so the Richmond based company is giving them a reminder the overall plan we believe the notice will serve to heighten awareness of the law for both retailers and for minors we do not want kids to smoke, did the tobacco industry made the announcement as the federal government considers regulating teen smoking President Clinton may announce his ideas on that tomorrow in a speech to teens in Charlotte North Carolina, if you are under 18 and smoke get ready for some tough new rules tomorrow President Clinton is expected to ban cigarette vending machines from places free courted by teens and to require proof of age before they're allowed to buy tobacco and anticipation of this one of the country's biggest a cigarette makers Philip Morris has started producing boxes and packs with the warning label underage sailed prohibited the announcement for mr. Clinton is expected to be made in the heart of tobacco country North Carolina today a pro tobacco Virginia congressman, apologize for a remark he made yesterday, the fiery issue of minors buying tobacco has sparked hot debate for weeks on Capitol Hill now industry giant Philip Morris is stepping in with their own plan of action the company unveiled new warning labels designed to discourage purchase by kids under 18 those labels say cigarettes and tobacco or not for sale to minors Philip Morris hopes their label idea will show that reaching the children is a better way to solve the problem than just slapping more regulations on the tobacco industry, well the federal government step in and regulate tobacco we may find out tomorrow when President Clinton gives a speech on teenage Health but today the tobacco industry unveiled a plan of its own Catherine Barrett has the story the latest government survey says 19% of our eighth graders smoke and the trend among all teenagers is rising when it comes to smokers rights the federal government and the tobacco industry may not agree on many things but, both agree teen smoking is a problem we are totally committed to making a real difference on the issue of Youth smoking, we do not want kids to smoke period so starting now packs of Philip Morris cigarettes are coming off the assembly line stands with a new message reminders of the law the new label says underage sale prohibited it's on the same side of the pack as the surgeon general's health warning in the same small type Philip Morris says the announcement was made the same day, all three of its us plant started making the new labels more than 100 medical religious and children's groups want the government to regulate nicotine as an addictive drug but the tobacco industry is fighting math it says open the door and the government will step in to regulate all smoking we feel very strongly that this whole issue of Youth smoking and minors access should not be used as a smokescreen to then deny, Schultz their free choice to smoke whether the Philip Morris voluntary actions are enough to satisfy the president we may find out Wednesday when he gives a speech in Charlotte the heart of tobacco country Catherine Barrett 13 News Richmond, if you're under 18 and you smoke get ready for some tough new rules President Clinton is expected today to ban cigarette vending machines from places frequent ID by teens and to require proof of age before they're allowed to buy tobacco in response to this one of the country's biggest cigarette manufacturers Philip Morris has started producing boxes and packs with the warning label underage sale prohibited the announcement from Mister Clinton is expected to be made in the heart of tobacco country North Carolina yesterday a pro, oh Virginia Congressman apologized for a remark he made on Monday Republican Tom bliley of Richmond suggested that Clinton would need a good security detail in North Carolina when he announces his anti-smoking regulations the statement was made on Doug Wilder radio program and bliley now admits his comment was inappropriate, national news this morning a Crackdown on cigarette sales to minors on two fronts access and label warnings Bill Plante has more on the Dual assault on underage smoking the administration is still putting the finishing touches on new regulations aimed at discouraging teenage smoking which are expected to set off a political Firestorm and the barrage of lawsuits the president intends to move in the next several days to protect America's children from the ill effects of, tobacco use among measures being considered Banning cigarette vending machines from locations where teens gather cracking down on purchases by minors and regulating tobacco advertising still undecided according to sources whether to declare nicotine a drug subject to regulation by the Food and Drug Administration the industry is already fighting back cigarette maker Philip Morris announced it has voluntarily begun putting a new notice on its packages underage sales prohibited list, Clinton also faces strong passions on the political front speculation he might announce his decision North Carolina the heart of tobacco country brought this response on a radio show from Virginia Congressman Thomas bliley chairman of the powerful Commerce Committee the Lee goes down there makes that Charlotte I hope they got a good security detail for him Wiley later made a formal apology but tobacco State politics like presidential security is no laughing matter in the long run though presidential strategist, like this risky plan will pay off because the polls show that the public by overwhelming margins favors restricting the sale of tobacco to team Bill Plante CBS News the White House, in an effort to stop underage smoking Philip Morris is putting new warning labels on their cigarettes the move comes as President Clinton tries to crack down on teenage smoking new warning labels will read underage sales prohibited Philip Morris hopes their label idea will show that breaching the children is a better way to solve the problem than just slapping more regulations on the tobacco industry, today the president is expected to unveil his campaign to keep teens from smoking but one tobacco company has already released a plan of its own hoping to Stave off government regulation Catherine Barrett has that story the latest government survey says 19% of our eighth graders smoke and the trend among all teenagers is rising when it comes to smokers rights the federal government and the tobacco industry may not agree on many things but both agree, teen smoking is a problem we are totally committed to making a real difference on the issue of Youth smoking, we do not want kids to smoke period so starting now packs of Philip Morris cigarettes are coming off the assembly line stands with a new message reminders of the law the new label says underage sale for Hibbett it's on the same side of the pack as the surgeon general's health warning in the same small type, Philip Morris says the announcement was made the same day all three of its us plant started making the new labels more than 100 medical religious and children's groups want the government to regulate nicotine as an addictive drug but the tobacco industry is fighting that it says open the door and the government will step in to regulate all smoking we feel very strongly that this whole issue of Youth smoking and minors access should not be, used as a smokescreen to then deny adults their free choice to smoke whether the Philip Morris voluntary actions are enough to satisfy the president we may find out Wednesday when he gives a speech in Charlotte the mark of tobacco country Catherine Barrett 13 News Richmond and the cigarettes carrying the new labels will be on store shelves in about six weeks",0.8633218237209302,0.783103,0.9128387
tobacco_wfs62a00,tobacco_wfs62a00.mp4,4130907,https://archive.org/download/tobacco_wfs62a00/tobacco_wfs62a00.mp4,newsandpublicaffairs,movies,TOB/TM LIGHT UP,2001,Youth smoking prevention commercial.,"tobacco, cigarette,youth, children, smoking prevention, television, anti-smoking advocacy, public awareness, marketing, advertising",tobacco_wfs62a00,tobacco companies spend Millions on ads in the magazines,0.85858417,0.85858417,0.85858417
tobacco_ujk22d00,tobacco_ujk22d00.mp4,31185988,https://archive.org/download/tobacco_ujk22d00/tobacco_ujk22d00.mp4,newsandpublicaffairs,movies,Youth Smoking PSAs; YSP - COMPARATIVE ANTISMOKING SPOTS,10007,Poor video.,"tobacco, cigarette,youth, anti-smoking advocacy, animal subject, smoker, counter advertising,",tobacco_ujk22d00,"this is Monica and she's like our only friend who smoke was trying to get her to stop yeah we told her that smoking thinks of her hair she said she could fix it the same with her breath and close we told her Smoky made her teeth and Nails yellow she said she could fix it but then we read somewhere this real about how cigarette smoke it's like in your skin and causes permanent wrinkles so we told her she freaked totally then she quit it was cool really because now we don't have any friends who smoke,you can tell a little brothers and sisters do as I say not as I do but they won't listen we can tell him not to smoke but what if we smoke they will smoke and in their minds will be Hypocrites we can yell at him we can tell them there's stupid if they smoke we can tell them it'll make them sick it'll make them think what they will do as we do if we smoke they will smoke,aren't you going to kiss me I gotta go, nobody likes to kiss an ashtray, I started smoking to look over I started smoking because my friends did I'm sorry smoking keep reading I started smoking because my older brother did so I guess I thought was cool we all started smoking for different reasons but the truth is now we all wish we could split it give the truth about smoking call 1 888 567 truth, I'm glad we finally got together me too would you excuse me sure there's a moment in every smokers life when it becomes clear it's finally time to coin if it hasn't happened for you yet if you will, if you think this looks ridiculous remember smoking is just as a natural for you as it is for them, okay here's five things all guys should know one don't change it to something different and your friends to ring the doorbell don't beep the horn three hold the onions it's an invention called the telephone use it and five next the smoking that yellow teeth cigarette standard thing it's not working you guys getting, now let me get this straight you want to put this in your mouth, there's a moment in every smokers life when it becomes clear it's finally time to quit if it hasn't happened for you yet it will",0.8746288650000003,0.8027308,0.91283864
tobacco_faw27a00,tobacco_faw27a00.mp4,20573689,https://archive.org/download/tobacco_faw27a00/tobacco_faw27a00.mp4,newsandpublicaffairs,movies,Schroth & Associates 6PM,1998,Focus group on a raise in cigarette taxes. [Hispanics],"tobacco, cigarette,excise tax, advertising, tobacco industry, tobacco manufacturer, secondhand smoke",tobacco_faw27a00,"country and even internationally and talk to people about things I hope are of interest to your lies I think tonight's topic is very interesting sometimes things aren't so interesting I remember a recent focus group where I had to try to determine how much people were willing to pay for to use the ATM machine well people don't want to be a that machine so that was not a very interesting,I think Topic in the focus group didn't go so well from that point forward there are no they're only just a couple of rules in a in a focus group number one and most important to be is please speak your mind as openly and as frankly and as often as you want because if you don't they won't pay me and that's important to me anyway almost like your own family dinner table if you agree with someone, great let me know if you disagree with someone great let me know if you disagree with me just speak your mind because your opinions tonight are what matters there are no right or wrong answers the only thing there are is what you think sort of like if you were at your own family dinner table I know it my family dinner table things get a little rambunctious sometimes there are microphones here yeah I want to tell you that quite openly because, I can't possibly write fast enough everything that you say and I have to create a report about this group so I have to tape it but please know that everything you say will be kept in the strictest of confidence I will I do not know and I will never report your last names it's simply not important to me all it's important to me is how you think about tonight's topic that is of primary, the, the final thing I like to I'd like to say is, that, there well I'll get back to that never mind let's go around the table please and everybody tell me your first name did not to say your last name and tell me a little bit about your life wherever you want to say and tell me the best thing and the worst thing about living in Northern California I was what I was unable to remember men to go is whether or not I was going to tell you what I thought but I don't live in Northern California but I was going to but I did live here in 1985 and I'm going to try to remember back to then, it wouldn't be fair to long ago I'm sure you change so let's start with, my name is Philip and the best thing about living in Northern Cal yes okay and the worst thing is too many people want to live here so it's too congested okay welcome yes, similar feelings I like the outdoors the geography of worse things is there's too many people here okay Carol hi hi I love San Francisco the Multicultural diversity and I can't say anything bad about it, ten people the merrier somewhere in there okay Victoria and I'm a native San Francisco I love coming down with Diamond Heights to Clipper and watching the looking at the 3d effect that's actually my favorite enjoy that every night so it's a good thing parking stinks good welcome my name my name is Dave I've lived here for 19 years I feel like they have almost the thing I like about, it is that friends and relatives love to come and visit so I get to see them without happy to spend a lot of money to go see them and the worst thing about San Francisco is they sometimes take too long good one yes my name is Carmen I am live in San Francisco, city I have lived here 50 years and I love it I love everything about it except the parking okay yeah my name is",0.8565830957142857,0.7272839,0.9128386
