identifier,name,size,url,collection,mediatype,title,description,subject
tobacco_xsy27a00,tobacco_xsy27a00.mp4,335616265,https://archive.org/download/tobacco_xsy27a00/tobacco_xsy27a00.mp4,medicalheritagelibrary,movies,"Tobacco""  ABC-TV Special with Peter Jennings  ""Never Say Die-How the Cigarette Companies Keep on Winning","ABC Special on the tobacco industry and it's resiliency over the years in the face of adversity and controversy. Named Persons: Grey, C. Boyden; Dawson, Brennan; Bayner, John; Dole, Bob; Hatch, Orin; Lewin, Jack, Dr.; Hayden, Tom; Glantz, Stanton, Dr.; Brown, Willie; Wilson, Peter. Named Organizations: Tobacco Institute; Brown & Williamson; US Tobacco; California Medical Association","tobacco, cigarette, tobacco industry, advertising, litigation, anti-smoking advocacy, industry strategy"
tobacco_eey99d00,eey99d00a.mp4,579715272,https://archive.org/download/tobacco_eey99d00/eey99d00a.mp4,newsandpublicaffairs,movies,SMOKING RELATED ISSUES 940328 AND 940330 TV BROADCASTS DR,"Reports about the congressional hearing investigating the allegations that tobacco companies manipulate the levels of nicotine in cigarettes, proposed FDA regulation of tobacco, ban on smoking in the workplace, and tobacco industry opposition to an increase in the federal cigarette tax. <br />","tobacco, cigarette, hearing, television, nicotine, public place, Congress, tobacco industry employee, secondhand smoke, workplace, tobacco related health concerns, employee rights, anti-smoking advocacy, tobacco industry"
tobacco_eey99d00,eey99d00b.mp4,306594782,https://archive.org/download/tobacco_eey99d00/eey99d00b.mp4,newsandpublicaffairs,movies,SMOKING RELATED ISSUES 940328 AND 940330 TV BROADCASTS DR,"Reports about the congressional hearing investigating the allegations that tobacco companies manipulate the levels of nicotine in cigarettes, proposed FDA regulation of tobacco, ban on smoking in the workplace, and tobacco industry opposition to an increase in the federal cigarette tax. <br />","tobacco, cigarette, hearing, television, nicotine, public place, Congress, tobacco industry employee, secondhand smoke, workplace, tobacco related health concerns, employee rights, anti-smoking advocacy, tobacco industry"
tobacco_bwy27a00,tobacco_bwy27a00.mp4,17942168,https://archive.org/download/tobacco_bwy27a00/tobacco_bwy27a00.mp4,medicalheritagelibrary,movies,"1. Perot illegal contribut.   2. MA/Olver  Swift, Tob.   3. CA/Smith  anti  Tob.   4. Clin  foreign Tob.",Political ads focusing on money from special interest groups.,"tobacco, cigarette, political activity"
tobacco_cla71b00,tobacco_cla71b00.mp4,44579506,https://archive.org/download/tobacco_cla71b00/tobacco_cla71b00.mp4,newsandpublicaffairs,movies,910000 CAMEL GENERAL MARKET PRE-SELL,,"tobacco, cigarette"
tobacco_qno71d00,VTS_01_1_512kb.mp4,125757784,https://archive.org/download/tobacco_qno71d00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,"People of California v. Philip Morris Incorporated Et Al. Edward Blackmer Deposition Winston-Salem, NC; Tape 2 of 6 [Parts 1-5]","Deposition of Edward Blackmer, head of the Marketing Operations Department at R.J. Reynolds, testifying in the People of California, and the Commonwealth of Massachusetts, v. Philip Morris Incorporated Et Al.

<a href=""http://www.archive.org/details/tobacco_qno71d00a"" rel=""nofollow"">Click Here to View Part 1</a>

<a href=""http://www.archive.org/details/tobacco_qno71d00b"" rel=""nofollow"">Click Here to View Part 2</a>

<a href=""http://www.archive.org/details/tobacco_qno71d00c"" rel=""nofollow"">Click Here to View Part 3</a>

<a href=""http://www.archive.org/details/tobacco_qno71d00d"" rel=""nofollow"">Click Here to View Part 4</a>

<a href=""http://www.archive.org/details/tobacco_qno71d00e"" rel=""nofollow"">Click Here to View Part 5</a>","tobacco , cigarette , marketing , advertising , promotions , promotional merchandise , sales , event sponsorship , sports sponsorship , youth , smoking prevention , marketing research , tobacco control , lobbying , cigarette brands , filter , demographics , tar , nicotine , working class , international trade , marketing strategy , cigarette promotion code , low yield cigarette , age group , smoker behavior"
tobacco_rle13d00,VTS_01_1_512kb.mp4,130920086,https://archive.org/download/tobacco_rle13d00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,"Camel Cigarette Commercials, 16mm Transfer Reel # 3 [Parts 1-2]","Compilation of Camel cigarette television commercials from the 1966 to 1968 including ""They're Not for Everybody"" and ""Drop Everything."" Also sponsorship of Rat Patrol, Dragnet, American Sportsman and Cimarron Strip.

<a href=""http://www.archive.org/details/tobacco_rle13d00a"" rel=""nofollow"">Click Here to View Part 1</a>

<a href=""http://www.archive.org/details/tobacco_rle13d00b"" rel=""nofollow"">Click Here to View Part 2</a>","tobacco , cigarette , television , advertising , filter , menthol cigarette"
tobacco_enw27a00,tobacco_enw27a00.mp4,29570659,https://archive.org/download/tobacco_enw27a00/tobacco_enw27a00.mp4,newsandpublicaffairs,movies,Smoking Decisions- Newstalk WFLD-TV Chicago,"""Helping Youth Decide"" segment","tobacco, cigarette,youth"
tobacco_fry27a00,tobacco_fry27a00.mp4,38744888,https://archive.org/download/tobacco_fry27a00/tobacco_fry27a00.mp4,newsandpublicaffairs,movies,"Good Morning America, WJLA TV/ABC, Wash DC, 8:10 AM: Smoking Ban & Columbia Mall -Arthur Miller (Legal Editor) -Lana Flax (Tobacco Shop Owner) -Marge Archbold (Fired For Smoking)",TV spot on smoking bans in public places.,"tobacco, cigarette,product restriction, public places, smoking restriction"
tobacco_hkk21c00,170600458_a_512kb.mp4,123097291,https://archive.org/download/tobacco_hkk21c00/170600458_a_512kb.mp4,medicalheritagelibrary,movies,"Cigarette Ads, Part II","Compilation of live action and animated commercials for True (""You are not alone any more""), Kent (in English, French, and Spanish, majority with jingles ""What a good time for a Kent"" and ""To a Smoker it's a Kent""), Tiparillo, and Stag Tipped Cigars.  This video contains 8 parts.","tobacco, cigarette, television, advertising, menthol cigarette, filter, international trade, low yield cigarette, nicotine, tar"
tobacco_hkk21c00,170600458_b_512kb.mp4,121540898,https://archive.org/download/tobacco_hkk21c00/170600458_b_512kb.mp4,medicalheritagelibrary,movies,"Cigarette Ads, Part II","Compilation of live action and animated commercials for True (""You are not alone any more""), Kent (in English, French, and Spanish, majority with jingles ""What a good time for a Kent"" and ""To a Smoker it's a Kent""), Tiparillo, and Stag Tipped Cigars.  This video contains 8 parts.","tobacco, cigarette, television, advertising, menthol cigarette, filter, international trade, low yield cigarette, nicotine, tar"
tobacco_hkk21c00,170600458_c_512kb.mp4,120069112,https://archive.org/download/tobacco_hkk21c00/170600458_c_512kb.mp4,medicalheritagelibrary,movies,"Cigarette Ads, Part II","Compilation of live action and animated commercials for True (""You are not alone any more""), Kent (in English, French, and Spanish, majority with jingles ""What a good time for a Kent"" and ""To a Smoker it's a Kent""), Tiparillo, and Stag Tipped Cigars.  This video contains 8 parts.","tobacco, cigarette, television, advertising, menthol cigarette, filter, international trade, low yield cigarette, nicotine, tar"
tobacco_hkk21c00,170600458_d_512kb.mp4,122085870,https://archive.org/download/tobacco_hkk21c00/170600458_d_512kb.mp4,medicalheritagelibrary,movies,"Cigarette Ads, Part II","Compilation of live action and animated commercials for True (""You are not alone any more""), Kent (in English, French, and Spanish, majority with jingles ""What a good time for a Kent"" and ""To a Smoker it's a Kent""), Tiparillo, and Stag Tipped Cigars.  This video contains 8 parts.","tobacco, cigarette, television, advertising, menthol cigarette, filter, international trade, low yield cigarette, nicotine, tar"
tobacco_hkk21c00,170600458_e_512kb.mp4,124542186,https://archive.org/download/tobacco_hkk21c00/170600458_e_512kb.mp4,medicalheritagelibrary,movies,"Cigarette Ads, Part II","Compilation of live action and animated commercials for True (""You are not alone any more""), Kent (in English, French, and Spanish, majority with jingles ""What a good time for a Kent"" and ""To a Smoker it's a Kent""), Tiparillo, and Stag Tipped Cigars.  This video contains 8 parts.","tobacco, cigarette, television, advertising, menthol cigarette, filter, international trade, low yield cigarette, nicotine, tar"
tobacco_hkk21c00,170600458_f_512kb.mp4,122453923,https://archive.org/download/tobacco_hkk21c00/170600458_f_512kb.mp4,medicalheritagelibrary,movies,"Cigarette Ads, Part II","Compilation of live action and animated commercials for True (""You are not alone any more""), Kent (in English, French, and Spanish, majority with jingles ""What a good time for a Kent"" and ""To a Smoker it's a Kent""), Tiparillo, and Stag Tipped Cigars.  This video contains 8 parts.","tobacco, cigarette, television, advertising, menthol cigarette, filter, international trade, low yield cigarette, nicotine, tar"
tobacco_hkk21c00,170600458_g_512kb.mp4,121762123,https://archive.org/download/tobacco_hkk21c00/170600458_g_512kb.mp4,medicalheritagelibrary,movies,"Cigarette Ads, Part II","Compilation of live action and animated commercials for True (""You are not alone any more""), Kent (in English, French, and Spanish, majority with jingles ""What a good time for a Kent"" and ""To a Smoker it's a Kent""), Tiparillo, and Stag Tipped Cigars.  This video contains 8 parts.","tobacco, cigarette, television, advertising, menthol cigarette, filter, international trade, low yield cigarette, nicotine, tar"
tobacco_hkk21c00,170600458_h_512kb.mp4,120079548,https://archive.org/download/tobacco_hkk21c00/170600458_h_512kb.mp4,medicalheritagelibrary,movies,"Cigarette Ads, Part II","Compilation of live action and animated commercials for True (""You are not alone any more""), Kent (in English, French, and Spanish, majority with jingles ""What a good time for a Kent"" and ""To a Smoker it's a Kent""), Tiparillo, and Stag Tipped Cigars.  This video contains 8 parts.","tobacco, cigarette, television, advertising, menthol cigarette, filter, international trade, low yield cigarette, nicotine, tar"
tobacco_lez99d00,tobacco_lez99d00.mp4,9951991,https://archive.org/download/tobacco_lez99d00/tobacco_lez99d00.mp4,newsandpublicaffairs,movies,GREY ADVERTISING OLD GOLD OGGS69247-60C/100'S TRAIL BIKE 60 SEC COLOR; OLD GOLD OGGS69247-60C/100'S TRAIL BIKE 60 SEC COLOR,Old Gold cigarette commercial.,"tobacco, cigarette,television , advertising , male , female, filter"
tobacco_rdz99d00,tobacco_rdz99d00.mp4,9321059,https://archive.org/download/tobacco_rdz99d00/tobacco_rdz99d00.mp4,newsandpublicaffairs,movies,N-64 BOAT - CATAMARAN :60,Newport cigarette commercial.,"tobacco, cigarette,advertising , television , menthol cigarette , male, female"
tobacco_pthm0166,tobacco_pthm0166.mp4,31654397,https://archive.org/download/tobacco_pthm0166/tobacco_pthm0166.mp4,newsandpublicaffairs,movies,Anti-Smoking Commercials - GVI INDUSTRY,"Compilation of anti-smoking commercials sponsored by California Department of Health Services, Washington State Department of Health, and the American Legacy Foundation/Truth Initiative.","cigarette, tobacco, anti-smoking advocacy, advertising, children, youth, marketing, industry response, tobacco education material, local government, local government agency"
tobacco_fjnj0229,tobacco_fjnj0229.mp4,11177218,https://archive.org/download/tobacco_fjnj0229/tobacco_fjnj0229.mp4,newsandpublicaffairs,movies,ANIMATION 2 BLOCK E 60.MPG,,"tobacco, cigarette,<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>"
