id,runtime,category,url,year,fellow_accuracy_rating,automl_confidence_avg,automl_confidence_min,automl_confidence_max
tobacco_rdz99d00,0:01:29,Advertising,https://archive.org/download/tobacco_rdz99d00/tobacco_rdz99d00.mp4,1966,Poor,0.765764925,0.7584321,0.77309775
tobacco_amp91f00,0:05:25,Advertising,https://archive.org/download/tobacco_amp91f00/VTS_01_1_512kb.mp4,1994,,0.844540638,0.75954443,0.91270757
tobacco_xpu03f00,0:11:28,Advertising,https://archive.org/download/tobacco_xpu03f00/170500098_512kb.mp4,1961,Good,0.813683908,0.5487559,0.9106133
tobacco_qar62a00,0:12:13,Advertising,https://archive.org/download/tobacco_qar62a00/tobacco_qar62a00.mp4,2001,,0.856837976,0.54513395,0.9128387
tobacco_ldo23e00,0:55:40,Advertising,https://archive.org/download/tobacco_ldo23e00/Bates_2058500019_chunk_1_512kb.mp4,1957,,0.83908049,0.6929299,0.9128383
tobacco_lez99d00,0:01:36,Advertising,https://archive.org/download/tobacco_lez99d00/tobacco_lez99d00.mp4,1968,Excellent,0.86617267,0.8458153,0.88653004
tobacco_tpu03f00,0:10:42,Advertising,https://archive.org/download/tobacco_tpu03f00/170500094_512kb.mp4,1966,Fair,0.793364537,0.57909757,0.9042315
tobacco_nou03f00,0:06:38,Advertising,https://archive.org/download/tobacco_nou03f00/170500062_512kb.mp4,1961,Poor,0.763747903,0.6526098,0.9047905
tobacco_szy99d00,0:00:59,Advertising,https://archive.org/download/tobacco_szy99d00/80704906-4908_512kb.mp4,1968,Good,0.8203265,0.8203265,0.8203265
tobacco_gxu03f00,0:13:10,Advertising,https://archive.org/download/tobacco_gxu03f00/170500152_512kb.mp4,1992,,0.788386151,0.35348186,0.9128385
tobacco_gav28d00,0:57:20,Legal/Court,https://archive.org/download/tobacco_gav28d00/Bates_2071021235_chunk_1_512kb.mp4,1995,,0.867130305,0.68594605,0.912839
